PeriodID,GameID,Number,Name,Type,AwayScore,HomeScore
72055,37312,1,1,Half,41,41
72056,37313,1,1,Half,19,31
72057,37309,1,1,Half,31,46
72058,42766,1,1,Half,25,37
72059,37316,2,2,Half,34,46
72060,37307,2,2,Half,44,24
72061,37310,2,2,Half,29,32
72062,42871,2,2,Half,29,38
72063,42013,2,2,Half,21,32
72064,42693,2,2,Half,44,37
72065,37309,2,2,Half,40,39
72066,37893,2,2,Half,43,35
72067,37311,2,2,Half,34,28
72068,42014,2,2,Half,21,36
72069,38300,1,1,Half,21,39
72070,42832,1,1,Half,21,33
72071,38780,1,1,Half,28,24
72072,36656,1,1,Half,38,26
72073,37313,2,2,Half,45,50
72074,42805,2,2,Half,38,40
72075,42766,2,2,Half,36,31
72076,38779,2,2,Half,33,35
72077,36655,2,2,Half,35,22
72078,42650,2,2,Half,36,45
72079,37308,2,2,Half,40,33
72080,37892,1,1,Half,17,30
72081,37312,2,2,Half,34,45
72082,37315,1,1,Half,31,31
72083,42015,1,1,Half,40,52
72084,42832,2,2,Half,35,44
72085,38780,2,2,Half,25,40
72086,36652,1,1,Half,24,30
72087,36651,1,1,Half,41,26
72088,38299,1,1,Half,43,23
72089,37314,1,1,Half,24,37
72090,38300,2,2,Half,28,35
72091,37892,2,2,Half,30,29
72092,36656,2,2,Half,30,34
72093,36650,1,1,Half,34,27
72094,37315,2,2,Half,24,23
72095,42015,2,2,Half,33,44
72096,42016,1,1,Half,34,32
72097,36652,2,2,Half,38,35
72098,42868,1,1,Half,37,42
72099,36649,1,1,Half,31,28
72100,36651,2,2,Half,24,34
72101,36650,2,2,Half,32,50
72102,37314,2,2,Half,48,35
72103,38299,2,2,Half,30,27
72104,36649,2,2,Half,32,25
72105,42016,2,2,Half,38,13
72106,42868,2,2,Half,45,36
72107,42799,1,1,Half,29,40
72108,37314,3,OT,Overtime,2,10
72109,42799,2,2,Half,30,35
72110,40386,1,1,Half,45,41
72111,37330,1,1,Half,42,34
72112,42022,1,1,Half,24,27
72113,36658,1,1,Half,31,34
72114,42018,1,1,Half,35,29
72115,37324,1,1,Half,30,39
72116,37319,1,1,Half,29,33
72117,40388,1,1,Half,33,33
72118,42019,1,1,Half,37,28
72119,37317,1,1,Half,32,42
72120,42021,1,1,Half,30,33
72121,40387,1,1,Half,33,28
72122,42807,1,1,Half,42,27
72123,37329,1,1,Half,30,23
72124,38782,1,1,Half,31,33
72125,37328,1,1,Half,30,26
72126,42020,1,1,Half,36,25
72127,38301,1,1,Half,34,31
72128,37320,1,1,Half,27,38
72129,38302,1,1,Half,38,34
72130,37894,1,1,Half,37,22
72131,38781,1,1,Half,36,31
72132,40386,2,2,Half,40,44
72133,41148,1,1,Half,20,29
72134,41147,1,1,Half,35,27
